JobTitle,Company,Location,Salary,TypeofJob,Skills,MoreInfo,clean_jobtitle,Label
"PHP Developer (Laravel) | Up to $1,000",CLOUDTEAM,"Quận 7, Hồ Chí Minh","600 - 1,000 USD","Phần Mềm, Phần cứng, Dịch vụ IT","PHP, JavaScript, Laravel",https://topdev.vn/viec-lam/php-developer-laravel-up-to-1-000-cloudteam-2027116,php ( laravel ),Android
"Business Analyst | Up to $1,000",CLOUDTEAM,"Quận 7, Hồ Chí Minh","600 - 1,000 USD","Phần Mềm, Phần cứng, Dịch vụ IT",Business Analyst,https://topdev.vn/viec-lam/business-analyst-up-to-1-000-cloudteam-2027115,business analyst,Android
HOT BACK-END DEVELOPER (NODEJS),Global Care,"Thành phố Thủ Đức, Hồ Chí Minh","20,000,000 - 35,000,000 VND",Phần Mềm,"NodeJS, Back-End",https://topdev.vn/viec-lam/back-end-developer-nodejs-global-care-2027114,back-end ( nodejs ),BackEnd
Senior PHP Developer,Got It,"Quận 1, Hồ Chí Minh","Lên tới 40,000,000 VND",Dịch vụ doanh nghiệp,"PHP, Laravel",https://topdev.vn/viec-lam/senior-php-developer-got-it-2027113,php,Android
HOT Project Manager,CÔNG TY CỔ PHẦN GIẢI PHÁP CÔNG NGHỆ THÔNG TIN CUCKOOKOO,"Quận Gò Vấp, Hồ Chí Minh","1,000 - 2,000 USD","Software, Information Technology","Microsoft, Project Manager",https://topdev.vn/viec-lam/project-manager-cong-ty-co-phan-giai-phap-cong-nghe-thong-tin-cuckookoo-2027112,project manager,Android
IT SUPPORT,Công ty Cổ phần Công Nghệ Vũ Thảo,"Quận Tân Bình, Hồ Chí Minh",Thương lượng,Dịch vụ doanh nghiệp,"SQL, IT Support",https://topdev.vn/viec-lam/it-support-cong-ty-co-phan-cong-nghe-vu-thao-2027111,support,Android
JavaScript Back-end (NodeJS/MongoDB/SQL),Beincomm,"Quận 7, Hồ Chí Minh - Quận Cầu Giấy, Hà Nội",Thương lượng,"Giáo dục, Phần Mềm","JavaScript, MySQL, NodeJS, MongoDB",https://topdev.vn/viec-lam/javascript-back-end-nodejs-mongodb-sql-beincomm-2027110,javascript back-end ( nodejs/mongodb/sql ),BackEnd
Tester (QA / QC),InterGreat Education Group,"Quận Đống Đa, Hà Nội","10,000,000 - 15,000,000 VND",Giáo dục,Tester,https://topdev.vn/viec-lam/tester-qa-qc-intergreat-education-group-2026563,tester ( Quality Assurance / qc ),Android
Lập Trình Viên (.NET/C#/ASP.NET/VB.NET/JAVASCRIPT) ~ 10M - 25M,SSE (Solution Software Enterprise),"Quận Thanh Xuân, Hà Nội","10,000,000 - 25,000,000 VND",Phần Mềm,"ASP.NET, JavaScript, .NET, VB.NET, ReactJS, VueJS",https://topdev.vn/viec-lam/lap-trinh-vien-net-c-asp-net-vb-net-javascript-10m-25m-sse-solution-software-enterprise-2026578,( .net/c # /asp.net/vb.net/javascript ) ~ m - m,FullStack
Middle/Senior Front-end Developer,ISB Vietnam,"Quận Tân Bình, Hồ Chí Minh",Thương lượng,"Phần Mềm, Dịch vụ IT, Outsourcing","Front-End, ReactJS, TypeScript, NextJS",https://topdev.vn/viec-lam/middle-senior-front-end-developer-isb-vietnam-2026583,/ front-end,FrontEnd
"Android Developer (Java, Kotlin)",ISB Vietnam,"Quận Tân Bình, Hồ Chí Minh",Thương lượng,"Phần Mềm, Dịch vụ IT, Outsourcing","Android, Java, Kotlin",https://topdev.vn/viec-lam/android-developer-java-kotlin-isb-vietnam-2026584,android ( java kotlin ),Android
Android Developer,2359 Media,"Quận 10, Hồ Chí Minh",Thương lượng,Phần Mềm,"Android, Java, JSON, API, Kotlin, REST API",https://topdev.vn/viec-lam/android-developer-2359-media-2026581,android,Android
Game Designer,Metamars,"Quận Cầu Giấy, Hà Nội","700 - 1,300 USD",Giải trí/ Game,Game Design,https://topdev.vn/viec-lam/game-designer-metamars-2026594,game designer,Android
UNITY GAME DEVELOPER,Metamars,"Quận Cầu Giấy, Hà Nội","700 - 1,300 USD",Giải trí/ Game,Unity,https://topdev.vn/viec-lam/unity-game-developer-metamars-2026593,unity game,Android
Chuyên Viên Animation 2D,Metamars,"Quận Cầu Giấy, Hà Nội","700 - 1,000 USD",Giải trí/ Game,Animation 2D,https://topdev.vn/viec-lam/chuyen-vien-animation-2d-metamars-2026591,animation d,Android
2D Artist Game,Metamars,"Quận Cầu Giấy, Hà Nội","700 - 1,300 USD",Giải trí/ Game,2D Artist,https://topdev.vn/viec-lam/2d-artist-game-metamars-2026592,d artist game,Android
Experienced C/C++ Developer,ISB Vietnam,"Quận Tân Bình, Hồ Chí Minh",Thương lượng,"Phần Mềm, Dịch vụ IT, Outsourcing",C/C++,https://topdev.vn/viec-lam/experienced-c-c-developer-isb-vietnam-2026585,c/c++,Android
UI/UX Designer,Advesa Digital Solutions,"Quận Ba Đình, Hà Nội - None",Thương lượng,"Product, Phần Mềm","UX/UI Design, Product Design",https://topdev.vn/viec-lam/ui-ux-designer-advesa-digital-solutions-2026595,ui/ux designer,Android
[DI2] Senior Mobile App Developer (Flutter / React Native) - 1Y336,Ngân hàng TMCP Hàng Hải Việt Nam (MSB),"Quận Đống Đa, Hà Nội - Quận 1, Hồ Chí Minh","1,000 - 3,000 USD","Ngân Hàng, Tài Chính, Công nghệ thông tin","Android, iOS, Mobile, React Native, Flutter",https://topdev.vn/viec-lam/di2-senior-mobile-app-developer-flutter-react-native-1y336-ngan-hang-tmcp-hang-hai-viet-nam-msb-2026627,mobile app ( flutter / react native ) - y,Android
"[DI2] Senior Frontend Developer (Reactjs, Javascript) - 1Y338",Ngân hàng TMCP Hàng Hải Việt Nam (MSB),"Quận Đống Đa, Hà Nội","1,000 - 3,000 USD","Ngân Hàng, Tài Chính, Công nghệ thông tin","JavaScript, Front-End, ReactJS, TypeScript",https://topdev.vn/viec-lam/di2-senior-frontend-developer-reactjs-javascript-1y338-ngan-hang-tmcp-hang-hai-viet-nam-msb-2026628,frontend ( reactjs javascript ) - y,Android
Kỹ sư lập trình Firmware,Công ty Cổ Phần Công Nghệ Điện Tử & Viễn Thông Việt Nam (VNETGPS),"Quận Bắc Từ Liêm, Hà Nội","Lên tới 1,000 USD",Phần Mềm,Firmware,https://topdev.vn/viec-lam/ky-su-lap-trinh-firmware-cong-ty-co-phan-cong-nghe-dien-tu-vien-thong-viet-nam-vnetgps-2026596,firmware,Android
IT Support/ Global Service Desk Analysis,Swiss Post Solutions (SPS),"Quận 12, Hồ Chí Minh","500 - 1,100 USD",Dịch vụ IT,"IT Support, System Admin, English - Good, IT Service",https://topdev.vn/viec-lam/it-support-global-service-desk-analysis-swiss-post-solutions-sps-2026623,support/ global service desk analysis,Android
Mobile App Developer,Công Ty CP Dược Phẩm Pharmacity,"Thành phố Thủ Đức, Quận Bình Thạnh - Hồ Chí Minh",Thương lượng,Thương mại điện tử/ Bán lẻ,"Web/ Mobile, React Native, CI/CD, UX/UI Design, Front-End",https://topdev.vn/viec-lam/mobile-app-developer-cong-ty-cp-duoc-pham-pharmacity-2026613,mobile app,Android
"[DI2] Senior Java Developer (Ee, Spring, Hibernate) - 1Y339",Ngân hàng TMCP Hàng Hải Việt Nam (MSB),"Quận Đống Đa, Hà Nội - Quận 1, Hồ Chí Minh","1,000 - 3,000 USD","Ngân Hàng, Tài Chính, Công nghệ thông tin","Java, Spring, Java Core, Java EE, Hibernate",https://topdev.vn/viec-lam/di2-senior-java-developer-ee-spring-hibernate-1y339-ngan-hang-tmcp-hang-hai-viet-nam-msb-2026629,java ( ee spring hiBack Endrnate ) - y,Android
"[DI2] Solution Architect (AWS, Java) - 1Y345",Ngân hàng TMCP Hàng Hải Việt Nam (MSB),"Quận Đống Đa, Hà Nội","1,000 - 3,000 USD","Ngân Hàng, Tài Chính, Công nghệ thông tin","Solution Architect, Agile, DevOps",https://topdev.vn/viec-lam/di2-solution-architect-aws-java-1y345-ngan-hang-tmcp-hang-hai-viet-nam-msb-2026630,solution architect ( aws java ) - y,Android
